suburb,Population,Separate_house,Semi_detached_row,Flat_apartment,other,House_Price_Mean,Offences_Recorded
ROXBURGH PARK,114413,29684,2517,301,3,612875,0
SANDRINGHAM,10926,2133,956,1145,19,2341875,0
SCORESBY,6066,1998,65,9,0,959000,0
SEAFORD,17215,5295,1666,182,43,853250,0
SEDDON,22278,3724,1445,4200,69,1189375,0
SOUTH MELBOURNE,11548,259,1967,3250,50,1646250,0
SOUTH MORANG,24989,6781,1217,34,0,723375,0
SOUTH YARRA,25028,964,1678,10404,21,2151375,0
SOUTHBANK,22699,3,158,11712,9,NA,NA
SPOTSWOOD,18634,4373,2042,452,30,1222875,0
SPRINGVALE,22174,4972,1441,644,101,854525,0
ST ALBANS,55112,14505,2151,1227,31,679375,0
ST KILDA,22438,686,1417,9194,459,1607575,0
STRATHMORE,13111,3092,891,814,14,1568375,0
STRATHMORE HEIGHTS,13111,3092,891,814,14,996875,0
SUNSHINE,44372,11614,2459,1098,16,869625,0
SUNSHINE NORTH,44372,11614,2459,1098,16,737300,0
SUNSHINE WEST,44372,11614,2459,1098,16,730125,0
SURREY HILLS,18608,4377,1693,820,10,2286875,0
SYDENHAM,51402,12656,2841,298,0,691875,0
TAYLORS LAKES,26703,7902,976,48,3,889650,0
TEMPLESTOWE,16966,4436,1065,214,0,1600000,0
TEMPLESTOWE LOWER,14164,4087,912,60,5,1405000,0
THOMASTOWN,20234,6192,699,445,3,712625,0
THORNBURY,19005,4111,1872,1957,52,1504250,0
TOORAK,12817,1664,1084,2731,0,6100000,0
TRUGANINA,129888,33516,3435,985,0,613100,0
TULLAMARINE,17912,5270,1523,60,0,746950,0
VERMONT SOUTH,22951,6638,1135,113,7,1419050,0
WANTIRNA,34940,10080,1737,342,0,1055500,0
WANTIRNA SOUTH,34940,10080,1737,342,0,1223125,0
WARRANDYTE,8562,2744,17,5,5,1255000,0
WERRIBEE,119201,33400,4370,892,40,569750,0
WEST FOOTSCRAY,27023,5798,2803,1892,41,1025575,0
WEST MELBOURNE,8025,46,718,3066,21,1253750,0
WESTMEADOWS,9812,2941,569,20,5,725375,0
WHEELERS HILL,63298,17602,1948,2157,0,1375375,0
WILLIAMSTOWN,16025,3321,1926,839,7,1635250,0
WINDSOR,19636,1592,2337,5856,33,1578625,0
WOLLERT,24407,6382,718,139,11,634075,0
WYNDHAM VALE,34004,10022,451,10,0,531875,0
YARRAVILLE,15636,4346,981,661,74,1184125,0
ARDEER,3170,876,229,7,29,716000,0
BAYSWATER,21276,5711,1948,582,0,878325,0
BERWICK,51308,15124,1752,53,17,835375,0
BRIAR HILL,27181,8524,1290,221,0,1026625,0
BROOKLYN,27023,5798,2803,1892,41,867250,0
BURNSIDE HEIGHTS,67146,17430,1894,353,4,697750,0
CAIRNLEA,67146,17430,1894,353,4,822625,0
CLARINDA,20820,4936,1875,542,0,1041750,0
CLYDE NORTH,43202,12645,332,8,0,681875,0
CROYDON HILLS,46296,15399,1565,589,10,1108875,0
CROYDON NORTH,46296,15399,1565,589,10,1049375,0
DOREEN,50494,15017,1137,129,5,705650,0
EMERALD,7974,2689,22,16,0,875250,0
EUMEMMERRING,11889,3169,849,11,9,648075,0
GISBORNE,11715,3556,359,33,0,925750,0
HALLAM,11355,2738,738,50,0,695000,0
HAMPTON EAST,18587,4247,1582,1127,51,1512625,0
HEALESVILLE,10922,3754,292,11,41,758125,0
KEILOR LODGE,26703,7902,976,48,3,815750,0
KINGS PARK,55112,14505,2151,1227,31,600975,0
KINGSBURY,31529,8503,1699,1139,0,840625,0
LOWER PLENTY,3962,1107,308,57,0,1211075,0
LYNBROOK,18048,4633,283,28,0,742000,0
MELTON SOUTH,37062,10574,905,17,3,460000,0
MELTON WEST,40724,12438,1051,72,8,506375,0
MICKLEHAM,114413,29684,2517,301,3,635250,0
MONT ALBERT,18608,4377,1693,820,10,2428825,0
MONTROSE,6900,2138,92,92,0,857575,0
OAKLEIGH EAST,24753,5793,1941,1621,5,1179125,0
PRINCES HILL,8186,279,2352,788,45,2070750,0
ROCKBANK,6195,1917,33,14,106,566500,0
SEABROOK,28191,9016,1062,431,11,722625,0
SEAHOLME,13556,3573,1578,423,15,1235250,0
SKYE,117143,32025,3891,520,4,745250,0
SPRINGVALE SOUTH,23261,6346,1093,125,60,800500,0
ST HELENA,27181,8524,1290,221,0,1132325,0
SUNBURY,39093,12563,580,1033,0,644875,0
TARNEIT,129888,33516,3435,985,0,599625,0
TAYLORS HILL,51402,12656,2841,298,0,840200,0
TECOMA,9024,3143,51,15,7,954875,0
THE BASIN,4500,1462,74,3,4,891250,0
VERMONT,22951,6638,1135,113,7,1230825,0
VIEWBANK,27045,7239,1339,1514,18,1250250,0
WERRIBEE SOUTH,119201,33400,4370,892,40,805625,0
WILLIAMS LANDING,9448,2507,156,155,0,752500,0
CAULFIELD,18075,3366,2258,1095,17,2055250,0
CROYDON SOUTH,46296,15399,1565,589,10,903200,0
FLEMINGTON,17772,1491,3238,3075,33,1214625,0
GARDENVALE,13433,2037,1063,2512,45,NA,NA
HAWTHORN EAST,14834,2067,1124,3044,5,2306875,0
KEALBA,55112,14505,2151,1227,31,670625,0
KEILOR,5974,1877,274,0,0,1060325,0
KEILOR PARK,16763,4495,2030,129,14,813325,0
NIDDRIE,16763,4495,2030,129,14,1218375,0
BURNLEY,31534,2262,4690,7604,68,NA,NA
CHIRNSIDE PARK,11779,3987,65,17,0,891875,0
CREMORNE,31534,2262,4690,7604,68,1571300,0
GLEN HUNTLY,32810,4677,4113,5248,66,1803875,0
HAMPTON PARK,26082,7344,498,64,0,618875,0
MANOR LAKES,34004,10022,451,10,0,597875,0
NORTH WARRANDYTE,8562,2744,17,5,5,NA,NA
PLUMPTON,6195,1917,33,14,106,NA,NA
SOUTH KINGSVILLE,18634,4373,2042,452,30,1085325,0
WALLAN,15931,4803,349,7,0,572500,0
WARRANWOOD,34607,10846,872,1015,5,1156125,0
WATSONIA,9156,3159,294,22,0,977875,0
DOVETON,11889,3169,849,11,9,584000,0
FERNY CREEK,1524,530,0,0,0,1039500,0
BALACLAVA,17964,1463,1314,5123,26,1568500,0
CAMPBELLFIELD,4977,1357,88,44,105,604500,0
COOLAROO,18081,4442,787,47,0,498750,0
DIGGERS REST,5669,1903,151,0,4,6.00E+05,0
HEATHERTON,2826,788,102,69,0,1143125,0
LANGWARRIN,23588,7046,1314,14,147,810500,0
LAVERTON,28191,9016,1062,431,11,606875,0
WANDIN NORTH,14257,4900,7,8,0,761725,0
WATSONIA NORTH,9156,3159,294,22,0,954700,0
YALLAMBIE,14050,4122,910,122,8,1027125,0
DOCKLANDS,15495,41,108,7376,5,NA,NA
WATTLE GLEN,1911,604,0,5,0,974625,0
KOOYONG,10763,1972,822,1359,151,3768750,0
NOTTING HILL,21880,2640,2703,1794,3,1148125,0
WILLIAMSTOWN NORTH,16025,3321,1926,839,7,1205000,0
BURNSIDE,67146,17430,1894,353,4,705375,0
CHELSEA HEIGHTS,26876,5170,2893,2692,144,973000,0
DERRIMUT,119201,33400,4370,892,40,NA,NA
KILSYTH,14558,4788,672,58,0,789000,0
NEW GISBORNE,2509,776,22,0,0,797750,0
RIPPONLEA,13433,2037,1063,2512,45,NA,NA
PENTLAND HILLS,1644,552,0,0,0,NA,NA
CRANBOURNE EAST,117143,32025,3891,520,4,661200,0
EYNESBURY,37062,10574,905,17,3,668750,0
GISBORNE SOUTH,11715,3556,359,33,0,NA,NA
OAKLANDS JUNCTION,563,166,0,0,0,NA,NA
SANDHURST,117143,32025,3891,520,4,945000,0
RESEARCH,28373,8643,427,551,4,1132625,0
TRAVANCORE,29874,4607,3050,4387,22,1780000,0
UPWEY,6818,2374,9,24,0,887125,0
WATERWAYS,37364,8238,3675,1765,39,1431375,0
YAN YEAN,246,81,0,0,0,NA,NA
CRANBOURNE WEST,117143,32025,3891,520,4,621850,0
WONGA PARK,3843,1225,0,3,0,1250125,0
BEACONSFIELD,7655,2193,245,0,76,885250,0
BOTANIC RIDGE,117143,32025,3891,520,4,879500,0
GEMBROOK,2559,792,0,15,0,797750,0
KILSYTH SOUTH,14558,4788,672,58,0,987375,0
WOORI YALLOCK,14257,4900,7,8,0,648750,0
BACCHUS MARSH,25614,8259,760,74,42,588800,0
MACLEOD,14050,4122,910,122,8,1162950,0
PANTON HILL,1063,349,0,0,3,NA,NA
