"","Suburb","House_price_mean"
"349","INGLEWOOD",317200
"350","INVERLOCH",904375
"351","INVERMAY PARK",691250
"352","IRONBARK",540950
"353","IRYMPLE",441550
"354","IVANHOE",1845450
"355","IVANHOE EAST",2288750
"356","JACANA",623750
"357","JACKASS FLAT",476500
"358","JAN JUC",1359525
"359","JEERALANG NORTH",284625
"360","JEPARIT",117700
"361","JUNCTION VILLAGE",605300
"362","JUNORTOUN",711250
"363","KALIMNA",461950
"364","KALKALLO",615625
"365","KALLISTA",893250
"366","KALORAMA",814625
"367","KANGAROO FLAT",457200
"368","KANGAROO GROUND SOUTH",1183250
"369","KANIVA",179625
"370","KATANDRA WEST",311875
"371","KEALBA",670625
"372","KEILOR",1060325
"373","KEILOR DOWNS",787250
"374","KEILOR EAST",976500
"375","KEILOR LODGE",815750
"376","KEILOR PARK",813325
"377","KENNINGTON",532500
"378","KENSINGTON",1160875
"379","KERANG",238375
"380","KEW",2661875
"381","KEW EAST",1900000
"382","KEW NORTH",2048625
"383","KEYSBOROUGH",927875
"384","KIALLA",565500
"385","KILCUNDA",1035625
"386","KILLARA (WODONGA)",558500
"387","KILMORE",549125
"388","KILSYTH",789000
"389","KILSYTH SOUTH",987375
"390","KINGLAKE",641250
"391","KINGS PARK",600975
"392","KINGSBURY",840625
"393","KINGSVILLE",1255000
"394","KNOXFIELD",991875
"395","KOO WEE RUP",608875
"396","KOONDROOK",297000
"397","KOOYONG",3768750
"398","KOROIT",516875
"399","KORUMBURRA",486125
"400","KURUNJANG",483125
"401","KYABRAM",308500
"402","KYNETON",762825
"403","LAKE BOGA",340000
"404","LAKE BOLAC",255000
"405","LAKE GARDENS",694375
"406","LAKE TYERS BEACH",514125
"407","LAKE WENDOUREE",1239575
"408","LAKES ENTRANCE",428700
"409","LALOR",703275
"410","LANCEFIELD",665950
"411","LANG LANG",632200
"412","LANGWARRIN",810500
"413","LARA",680625
"414","LARA LAKE",661125
"415","LAUNCHING PLACE",698250
"416","LAVERTON",606875
"417","LAVERTON SOUTH",727375
"418","LEITCHVILLE",212625
"419","LENEVA",560250
"420","LEONGATHA",515875
"421","LEOPOLD",647625
"422","LILYDALE",851950
"423","LINDENOW",381750
"424","LISMORE",174500
"425","LOCH SPORT",320575
"426","LONG GULLY",388125
"427","LONGWARRY",507000
"428","LORNE",1806875
"429","LOVELY BANKS",674950
"430","LOWER PLENTY",1211075
"431","LUCAS",592500
"432","LUCKNOW",366625
"433","LYNBROOK",742000
"434","LYNDHURST",829150
"435","LYSTERFIELD",1121375
"436","LYSTERFIELD SOUTH",1533000
"437","MACEDON",1097500
"438","MACLEOD",1162950
"439","MADDINGLEY",568000
"440","MAFFRA",345000
"441","MAIDEN GULLY",716750
"442","MAIDSTONE",856875
"443","MALDON",644875
"444","MALLACOOTA",456950
"445","MALMSBURY",660625
"446","MALVERN",2981250
"447","MALVERN EAST",2100625
"448","MAMBOURIN",597625
"449","MANIFOLD HEIGHTS",929575
"450","MANOR LAKES",597875
"451","MANSFIELD",637250
"452","MARENGO",1077500
"453","MARIBYRNONG",1163125
"454","MARLO",442500
"455","MARONG",562000
"456","MARSHALL",606275
"457","MARYBOROUGH",337950
"458","MARYSVILLE",656250
"459","MCCRAE",1151250
"460","MCKENZIE HILL",705500
"461","MCKINNON",1954500
"462","MCLOUGHLINS BEACH",292500
"463","MEADOW HEIGHTS",551625
"464","MELTON",457200
"465","MELTON SOUTH",460000
"466","MELTON WEST",506375
"467","MENTONE",1389625
"468","MENZIES CREEK",981375
"469","MERBEIN",248650
"470","MERINDA PARK",614750
"471","MERNDA",657750
"472","MERRIJIG (MANSFIELD)",846500
"473","METUNG",566750
"474","MICKLEHAM",635250
"475","MIDDLE PARK",3049125
"476","MILDURA",376700
"477","MILL PARK",759200
"478","MILLGROVE",530950
"479","MINERS REST",523750
"480","MINYIP",159125
"481","MIRBOO NORTH",491500
"482","MITCHAM",1219125
"483","MOE",310250
"484","MONBULK",734000
"485","MONT ALBERT",2428825
"486","MONT ALBERT NORTH",1580500
"487","MONTMORENCY",1132375
"488","MONTROSE",857575
"489","MOONEE PONDS",1540500
"490","MOORABBIN",1356250
"491","MOOROOLBARK",834400
"492","MOOROOPNA",328500
"493","MORDIALLOC",1403575
"494","MORNINGTON",1076875
"495","MORTLAKE",320625
"496","MORWELL",273500
"497","MOUNT BEAUTY",486500
"498","MOUNT CLEAR",522750
"499","MOUNT DANDENONG",868000
"500","MOUNT DUNEED",726000
"501","MOUNT EGERTON",484450
"502","MOUNT ELIZA",1680375
"503","MOUNT EVELYN",825450
"504","MOUNT HELEN",616375
"505","MOUNT MACEDON",1609000
"506","MOUNT MARTHA",1923750
"507","MOUNT PLEASANT",479075
"508","MOUNT WAVERLEY",1515750
"509","MULGRAVE",1012500
"510","MURRUMBEENA",1656625
"511","MURTOA",160700
"512","MYRTLEFORD",529250
"513","NAGAMBIE",536875
"514","NARRE WARREN",698625
"515","NARRE WARREN NORTH",1373375
"516","NARRE WARREN SOUTH",757625
"517","NATHALIA",269375
"518","NEERIM SOUTH",548125
"519","NELSON",356625
"520","NERRINA",592500
"521","NEW GISBORNE",797750
"522","NEWBOROUGH",362250
"523","NEWCOMB",585875
"524","NEWHAVEN",842075
"525","NEWINGTON",759575
"526","NEWLANDS ARM",564625
"527","NEWPORT",1300575
"528","NEWSTEAD",556950
"529","NEWTOWN (GREATER GEELONG)",1169000
"530","NHILL",172625
"531","NICHOLS POINT",496500
"532","NIDDRIE",1218375
"533","NOBLE PARK",754250
"534","NOBLE PARK NORTH",750000
"535","NORLANE",452125
"536","NORTH BENDIGO",460850
"537","NORTH GEELONG",615875
"538","NORTH MELBOURNE",1299375
"539","NORTH SHORE",642750
"540","NORTH WONTHAGGI",554750
"541","NORTHCOTE",1672075
"542","NOTTING HILL",1148125
"543","NUMURKAH",308125
"544","NUNAWADING",1247500
"545","NYAH WEST",186700
"546","OAK PARK",1096625
"547","OAKLEIGH",1358625
"548","OAKLEIGH EAST",1179125
"549","OAKLEIGH SOUTH",1169475
"550","OCEAN GROVE",985125
"551","OFFICER",650750
"552","OFFICER SOUTH",670750
"553","OLINDA",1056375
"554","OMEO",359750
"555","ORBOST",242875
"556","ORMOND",1946875
"557","OSBORNE",1132500
"558","OUYEN",170500
"559","PAKENHAM",598500
"560","PARADISE BEACH",323600
"561","PARK ORCHARDS",1896125
"562","PARKDALE",1509750
"563","PARKVILLE",1970250
"564","PASCOE VALE",1040625
"565","PASCOE VALE SOUTH",1277750
"566","PATTERSON GARDENS",1210225
"567","PATTERSON LAKES",1308125
"568","PAYNESVILLE",453750
"569","PEARCEDALE",849750
"570","PENSHURST",178750
"571","PLENTY",1485625
"572","POINT COOK",731375
"573","POINT LONSDALE",1325925
"574","POOWONG",561875
"575","POREPUNKAH",762375
"576","PORT ALBERT",441775
"577","PORT FAIRY",981750
"578","PORT MELBOURNE",1774875
"579","PORT WELSHPOOL",445000
"580","PORTARLINGTON",845625
"581","PORTLAND",368750
"582","PORTLAND NORTH",472250
"583","PORTSEA",3801875
"584","PRAHRAN",1818125
"585","PRESTON",1253875
"586","PRINCES HILL",2070750
"587","QUARRY HILL",526875
"588","QUEENSCLIFF",1357500
"589","RAINBOW",112750
"590","RAWSON",332500
"591","RAYMOND ISLAND",549375
"592","RED CLIFFS",313175
"593","REDAN",474000
"594","RESEARCH",1132625
"595","RESERVOIR",939125
"596","RHYLL",824075
"597","RICHMOND",1465250
"598","RIDDELLS CREEK",855000
"599","RINGWOOD",1015250
"600","RINGWOOD EAST",1041750
"601","RINGWOOD NORTH",1159000
"602","RIPPLESIDE",1061750
"603","ROBINVALE",327000
"604","ROCHESTER",363725
"605","ROCKBANK",566500
"606","ROMSEY",790625
"607","ROSANNA",1386325
"608","ROSEBUD",778450
"609","ROSEBUD SOUTH",970750
"610","ROSEDALE",348750
"611","ROWVILLE",1011975
"612","ROXBURGH PARK",612875
"613","RUSHWORTH",306575
"614","RUTHERGLEN",391500
"615","RYE",1093600
"616","SAFETY BEACH",1166250
"617","SAILORS GULLY",413975
"618","SALE",411950
"619","SAN REMO",851750
"620","SANCTUARY LAKES",710500
"621","SANDHURST",945000
"622","SANDRINGHAM",2341875
"623","SANDY POINT",702200
"624","SASSAFRAS",871375
"625","SAWMILL SETTLEMENT",547625
