suburb,OctDec20,JanMar2021,AprJun2021,JulAug21,OctDec21
BELGRAVE SOUTH,891300,770000,1100000,1143700,1125000
DON VALLEY,NA,NA,NA,NA,NA
YARRA GLEN,737500,745000,796000,862800,912300
MOUNT DANDENONG,927500,842000,785000,930000,915000
MENZIES CREEK,915000,750500,960000,990000,1225000
CRANBOURNE SOUTH,622500,642500,710000,665000,780000
WARNEET,500000,590000,812500,694900,756000
CROYDON,847500,860900,900000,940000,1022500
BELGRAVE HEIGHTS,800000,740000,1052000,922500,980000
YARRAMBAT,NA,NA,NA,NA,NA
VIEWBANK,1033500,1190000,1267000,1277500,1266500
MADDINGLEY,527500,560000,544500,572500,595000
YARRA JUNCTION,629000,601300,665000,650000,747500
LYSTERFIELD SOUTH,1430000,1580000,1007000,1800000,1745000
