"","suburb","Population","Separate_house","Semi_detached_row","Flat_apartment","other","Postcode","CouncilArea","House_price_mean","Type.x","Primary_School_number","Type.y","Pri_Sec_School_number","Type.x.x","Secondary_School_number","Type.y.y","Special_School_number","Type.x.x.x","Camp_School_number","Type.y.y.y","Language_School_number"
"82","EAGLEMONT",27045,7239,1339,1514,18,3084,"Banyule City Council",2509725,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"83","EAST MELBOURNE",4896,77,538,1762,3,3002,"Melbourne City Council",3341875,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"84","EDITHVALE",26876,5170,2893,2692,144,3196,"Kingston City Council",1221500,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"85","ELSTERNWICK",13433,2037,1063,2512,45,3185,"Glen Eira City Council",2106250,"Primary","2","Pri/Sec","3","Secondary","0","Special","0","Camp","0","Language","0"
"86","ELTHAM",28373,8643,427,551,4,3095,"Banyule City Council",1211950,"Primary","3","Pri/Sec","1","Secondary","2","Special","0","Camp","0","Language","0"
"87","ELTHAM NORTH",28373,8643,427,551,4,3095,"Banyule City Council",1267250,"Primary","3","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"88","ELWOOD",15153,1035,987,5239,0,3184,"Port Phillip City Council",2205625,"Primary","2","Pri/Sec","1","Secondary","1","Special","0","Camp","0","Language","0"
"89","ENDEAVOUR HILLS",24455,7017,990,5,0,3802,"Casey City Council",756375,"Primary","7","Pri/Sec","1","Secondary","1","Special","0","Camp","0","Language","0"
"90","EPPING",33489,8687,1816,188,5,3076,"Whittlesea City Council",647500,"Primary","5","Pri/Sec","1","Secondary","4","Special","0","Camp","0","Language","0"
"91","ESSENDON",26722,5318,2112,3002,25,3040,"Moonee Valley City Council",1744500,"Primary","4","Pri/Sec","1","Secondary","3","Special","0","Camp","0","Language","0"
"92","ESSENDON NORTH",13111,3092,891,814,14,3041,"Moonee Valley City Council",1370625,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
