"","suburb","Population","Separate_house","Semi_detached_row","Flat_apartment","other","Postcode","CouncilArea","House_price_mean","Type.x","Primary_School_number","Type.y","Pri_Sec_School_number","Type.x.x","Secondary_School_number","Type.y.y","Special_School_number","Type.x.x.x","Camp_School_number","Type.y.y.y","Language_School_number"
"331","CRANBOURNE WEST",117143,32025,3891,520,4,3977,"Casey City Council",621850,"Primary","1","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"332","WONGA PARK",3843,1225,0,3,0,3115,"Manningham City Council",1250125,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"333","BEACONSFIELD",7655,2193,245,0,76,3807,"Cardinia Shire Council",885250,"Primary","1","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"334","BOTANIC RIDGE",117143,32025,3891,520,4,3977,"Casey City Council",879500,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"335","GEMBROOK",2559,792,0,15,0,3783,"Cardinia Shire Council",797750,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"336","KILSYTH SOUTH",14558,4788,672,58,0,3137,"Maroondah City Council",987375,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"337","WOORI YALLOCK",14257,4900,7,8,0,3139,"Yarra Ranges Shire Council",648750,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"338","BACCHUS MARSH",25614,8259,760,74,42,3340,"Moorabool Shire Council",588800,"Primary","4","Pri/Sec","1","Secondary","1","Special","0","Camp","0","Language","0"
"339","MACLEOD",14050,4122,910,122,8,3085,"Banyule City Council",1162950,"Primary","0","Pri/Sec","1","Secondary","0","Special","0","Camp","0","Language","0"
"340","MACLEOD",14050,4122,910,122,8,3085,"Banyule City Council",1162950,"Primary","0","Pri/Sec","1","Secondary","0","Special","0","Camp","0","Language","0"
"341","PANTON HILL",1063,349,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342","LYNDHURST",18048,4633,283,28,0,3975,"Casey City Council",829150,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"343","OFFICER",19662,6171,405,8,0,3809,"Cardinia Shire Council",650750,"Primary","7","Pri/Sec","0","Secondary","1","Special","1","Camp","0","Language","0"
"344","MOUNT EVELYN",9799,3303,66,0,4,3796,"Yarra Ranges Shire Council",825450,"Primary","2","Pri/Sec","1","Secondary","0","Special","1","Camp","0","Language","0"
"345","KALKALLO",114413,29684,2517,301,3,3064,"Hume City Council",615625,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"346","WARRANDYTE SOUTH",34607,10846,872,1015,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347","LYSTERFIELD",38484,12559,1033,226,26,3156,"Knox City Council",1121375,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"348","GUYS HILL",7655,2193,245,0,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349","HURSTBRIDGE",4993,1666,30,0,0,3099,"Nillumbik Shire Council",926500,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"350","WHITTLESEA",9735,2956,249,33,0,3757,"Whittlesea City Council",680875,"Primary","2","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"351","MONBULK",3651,1248,39,0,4,3793,"Yarra Ranges Shire Council",734000,"Primary","2","Pri/Sec","1","Secondary","1","Special","0","Camp","0","Language","0"
"352","SILVAN",1323,407,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353","WARBURTON",5951,2261,5,19,24,3799,"Yarra Ranges Shire Council",672600,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"354","COCKATOO",4638,1500,0,0,0,3781,"Cardinia Shire Council",723075,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"355","KALLISTA",1418,544,9,0,0,3791,"Yarra Ranges Shire Council",893250,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"356","BULLENGAROOK",11715,3556,359,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357","BROOKFIELD",37062,10574,905,17,3,3338,"Melton City Council",537125,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"358","BULLA",668,220,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359","SEVILLE",14257,4900,7,8,0,3139,"Yarra Ranges Shire Council",774575,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"360","OLINDA",1773,638,4,0,0,3788,"Yarra Ranges Shire Council",1056375,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"361","AVONSLEIGH",7974,2689,22,16,0,3782,"Cardinia Shire Council",797025,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"362","WILDWOOD",39093,12563,580,1033,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"363","CASTELLA",10922,3754,292,11,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364","PARK ORCHARDS",3835,1157,0,0,0,3114,"Manningham City Council",1896125,"Primary","2","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"365","KALORAMA",1277,464,0,0,0,3766,"Yarra Ranges Shire Council",814625,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"366","BELGRAVE",9024,3143,51,15,7,3160,"Yarra Ranges Shire Council",790750,"Primary","1","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"367","BEACONSFIELD UPPER",3147,925,0,0,0,3808,"Cardinia Shire Council",945700,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"368","COLDSTREAM",3306,1092,3,4,0,3770,"Yarra Ranges Shire Council",757200,"Primary","3","Pri/Sec","0","Secondary","0","Special","1","Camp","0","Language","0"
"369","HOPETOUN PARK",25614,8259,760,74,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","TOOLERN VALE",40724,12438,1051,72,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","BELGRAVE SOUTH",9024,3143,51,15,7,3160,"Yarra Ranges Shire Council",1034675,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"372","DON VALLEY",14257,4900,7,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","YARRA GLEN",4080,1344,81,0,0,3775,"Yarra Ranges Shire Council",829025,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"374","MOUNT DANDENONG",1271,451,8,0,0,3767,"Yarra Ranges Shire Council",868000,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"375","MENZIES CREEK",2593,845,0,0,0,3159,"Cardinia Shire Council",981375,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"376","CRANBOURNE SOUTH",117143,32025,3891,520,4,3977,"Casey City Council",699375,"Primary","1","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"377","WARNEET",3571,1202,0,3,0,3980,"Casey City Council",713350,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"378","CROYDON",46296,15399,1565,589,10,3136,"Maroondah City Council",930850,"Primary","5","Pri/Sec","0","Secondary","2","Special","1","Camp","0","Language","0"
"379","CROYDON",46296,15399,1565,589,10,3136,"Maroondah City Council",930850,"Primary","5","Pri/Sec","0","Secondary","2","Special","1","Camp","0","Language","0"
"380","BELGRAVE HEIGHTS",9024,3143,51,15,7,3160,"Yarra Ranges Shire Council",923625,"Primary","0","Pri/Sec","1","Secondary","0","Special","0","Camp","0","Language","0"
"381","YARRAMBAT",1602,486,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","VIEWBANK",27045,7239,1339,1514,18,3084,"Banyule City Council",1250250,"Primary","1","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"383","VIEWBANK",27045,7239,1339,1514,18,3084,"Banyule City Council",1250250,"Primary","1","Pri/Sec","0","Secondary","1","Special","0","Camp","0","Language","0"
"384","MADDINGLEY",25614,8259,760,74,42,3340,"Moorabool Shire Council",568000,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
"385","YARRA JUNCTION",3764,1138,121,39,54,3797,"Yarra Ranges Shire Council",665950,"Primary","3","Pri/Sec","1","Secondary","1","Special","0","Camp","0","Language","0"
"386","LYSTERFIELD SOUTH",38484,12559,1033,226,26,3156,"Casey City Council",1533000,"Primary","0","Pri/Sec","0","Secondary","0","Special","0","Camp","0","Language","0"
